AirPollutionAttributableDeaths,,,,,,,,,,,
ParentLocationCode,ParentLocation,Location,Period,Dim1,Dim1ValueCode,Dim2,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh,Value,DateModified
SEAR,South-East Asia,Maldives,2016,Female,FMLE,"Trachea, bronchus, lung cancers",0.16,0.058,0.31,0.16 [0.058 – 0.31],7/6/18 0:00
WPR,Western Pacific,Samoa,2016,Female,FMLE,"Trachea, bronchus, lung cancers",0.16,0.074,0.27,0.16 [0.074 – 0.27],7/6/18 0:00
AMR,Americas,Antigua and Barbuda,2016,Female,FMLE,"Trachea, bronchus, lung cancers",0.19,0.1,0.3,0.19 [0.1 – 0.3],7/6/18 0:00
WPR,Western Pacific,Vanuatu,2016,Female,FMLE,"Trachea, bronchus, lung cancers",0.23,0.11,0.41,0.23 [0.11 – 0.41],7/6/18 0:00
WPR,Western Pacific,Micronesia (Federated States of),2016,Female,FMLE,"Trachea, bronchus, lung cancers",0.24,0.11,0.41,0.24 [0.11 – 0.41],7/6/18 0:00
AMR,Americas,Antigua and Barbuda,2016,Male,MLE,"Trachea, bronchus, lung cancers",0.26,0.14,0.41,0.26 [0.14 – 0.41],7/6/18 0:00
AFR,Africa,Comoros,2016,Female,FMLE,"Trachea, bronchus, lung cancers",0.27,0.14,0.42,0.27 [0.14 – 0.42],7/6/18 0:00
WPR,Western Pacific,Kiribati,2016,Female,FMLE,"Trachea, bronchus, lung cancers",0.31,0.14,0.52,0.31 [0.14 – 0.52],7/6/18 0:00
WPR,Western Pacific,Solomon Islands,2016,Female,FMLE,"Trachea, bronchus, lung cancers",0.38,0.17,0.65,0.38 [0.17 – 0.65],7/6/18 0:00
AFR,Africa,Seychelles,2016,Female,FMLE,"Trachea, bronchus, lung cancers",0.4,0.21,0.63,0.4 [0.21 – 0.63],7/6/18 0:00
WPR,Western Pacific,Tonga,2016,Female,FMLE,"Trachea, bronchus, lung cancers",0.42,0.19,0.72,0.42 [0.19 – 0.72],7/6/18 0:00
WPR,Western Pacific,Kiribati,2016,Male,MLE,"Trachea, bronchus, lung cancers",0.44,0.21,0.75,0.44 [0.21 – 0.75],7/6/18 0:00
